№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
338,С345,340,пр.60х40х2 90°,60,60,,,,3.8,3,10,5,,2.23,18.8,6.2,1.63
339,С345,340,"пр.60х40х2,5 90°",60,60,,,,4.7,3.6,11.8,5.9,,2.2,22.4,7.4,1.6
340,С345,340,пр.60х40х3 90°,60,60,,,,5.5,4.3,13.7,6.8,,2.18,26,8.6,1.58
341,С345,340,пр.60х40х4 90° ,60,60,,,,7.1,5.5,16.7,8.3,,2.13,32.2,10.7,1.54
342,С345,340,пр.60х40х5 90°,60,60,,,,8.6,6.7,19.1,9.5,,2.08,37.1,12.3,1.49
343,С345,340,пр.100х60х3 90°,100,100,,,,9.2,7.2,55.6,18.5,,3.66,123.2,24.6,2.46
344,С345,340,пр.100х60х4 90°,100,100,,,,12.2,9.6,70.8,23.6,,3.59,157.6,31.5,2.41
345,С345,340,пр.100х60х5 90°,100,100,,,,15,11.8,83.8,27.9,,3.54,187.8,37.6,2.36
346,С345,340,пр.100х60х6 90°,100,100,,,,17.8,14,96.2,32.1,,3.48,216.3,43.3,2.32
347,С345,340,пр.120х80х3 90°,120,120,,,,11.6,9.1,124.8,31.2,,4.48,233.4,38.9,3.27
348,С345,340,пр.120х80х4 90°,120,120,,,,15.3,12,159.7,39.9,,4.42,299,49.8,3.23
349,С345,340,пр.120х80х5 90°,120,120,,,,18.9,14.8,192.4,48.1,,4.37,361.4,60.2,3.19
350,С345,340,пр.120х80х6 90°,120,120,,,,22.6,17.7,224.1,56,,4.33,423.2,70.5,3.15
351,С345,340,пр.120х80х7 90°,120,120,,,,26.3,20.6,254.6,63.8,,4.28,483.2,80.4,3.1
352,С345,340,пр.140х60х4 90°,140,140,,,,15.3,12,95.4,31.8,,4.86,362.1,51.7,2.5
353,С345,340,пр.140х60х5 90°,140,140,,,,18.9,14.8,113.6,37.9,,4.8,436.1,62.3,2.45
354,С345,340,пр.140х60х6 90°,140,140,,,,22.6,17.7,131.3,43.8,,4.75,509.7,72.8,2.41
355,С345,340,пр.140х100х3 90°,140,140,,,,14.2,11.1,241.2,48.2,,5.31,404.2,57.7,4.1
356,С345,340,пр.140х100х4 90°,140,140,,,,18.5,14.5,304.3,60.9,,5.26,511.3,73,4.05
357,С345,340,пр.140х100х5 90°,140,140,,,,22.9,18,368,73.6,,5.2,619.7,88.5,4.01
358,С345,340,пр.140х100х6 90°,140,140,,,,27.4,21.5,432.4,86.5,,5.16,729.2,104.2,3.97
359,С345,340,пр.140х100х7 90°,140,140,,,,32,25.1,497.5,99.5,,5.11,839.8,120,3.92
360,С345,340,пр.160х80х3 90°,160,160,,,,13.9,10.9,155.2,38.8,,5.7,455,56.9,3.34
361,С345,340,пр.160х80х4 90°,160,160,,,,18.5,14.5,206.9,51.7,,5.73,606.7,75.8,3.34
362,С345,340,пр.160х80х5 90°,160,160,,,,22.9,18,248.7,62.2,,5.67,735.9,92,3.29
363,С345,340,пр.160х80х6 90°,160,160,,,,27.4,21.5,280.7,72.7,,5.62,864.7,108.1,3.26
364,С345,340,пр.160х120х4 90°,160,160,,,,21.6,17,514,85.7,,6.08,799.2,99.9,4.88
365,С345,340,пр.160х120х5 90°,160,160,,,,26.9,21.1,628.4,104.7,,6.03,978.2,122.3,4.83
366,С345,340,пр.160х120х6 90°,160,160,,,,32.1,25.2,736.9,122.8,,5.99,1150.5,143.8,4.79
367,С345,340,пр.160х120х7 90°,160,160,,,,37.2,29.2,836.6,139.4,,5.93,1307.4,163.4,4.74
368,С345,340,пр.160х120х8 90°,160,160,,,,42.3,33.2,932.5,155.4,,5.88,1461,182.6,4.69
369,С345,340,пр.180х60х5 90°,180,180,,,,22.9,18,144.7,48.2,,6.03,833.8,92.6,2.51
370,С345,340,пр.180х60х6 90°,180,180,,,,27.4,21.5,166.5,55.5,,5.97,978.5,108.7,2.46
371,С345,340,пр.180х100х5 90°,180,180,,,,26.9,21.1,459.6,91.9,,6.52,1143,127,4.13
372,С345,340,пр.180х100х6 90°,180,180,,,,32.1,25.2,537.8,107.6,,6.47,1344.4,149.4,4.09
373,С345,340,пр.180х100х7 90°,180,180,,,,37.2,29.2,607.9,121.6,,6.41,1527.9,169.8,4.04
374,С345,340,пр.180х100х8 90°,180,180,,,,42.3,33.2,676,135.2,,6.35,1706.1,189.6,4
375,С345,340,пр.180х140х4 90°,180,180,,,,24.6,19.3,782.4,111.8,,6.91,1165,128.2,5.7
376,С345,340,пр.180х140х5 90°,180,180,,,,30.7,24.1,981.2,140.2,,6.85,1443,160.3,5.65
377,С345,340,пр.180х140х6 90°,180,180,,,,36.8,28.9,1158.9,165.6,,6.81,1706.8,189.6,5.61
378,С345,340,пр.180х140х7 90°,180,180,,,,42.8,33.6,1322.9,189,,6.75,1952,216.9,5.56
379,С345,340,пр.180х140х8 90°,180,180,,,,48.7,38.2,1480.6,211.5,,6.7,2187.3,243,5.51
380,С345,340,пр.200х120х4 90°,200,200,,,,27.7,21.8,1160,145,,7.68,1631.8,163.2,6.47
381,С345,340,пр.200х160х5 90°,200,200,,,,34.6,27.2,1450,181.2,,7.67,2039.7,204,6.46
382,С345,340,пр.200х160х6 90°,200,200,,,,41.4,32.5,1712.3,214,,7.63,2412.4,241.2,6.43
383,С345,340,пр.200х160х7 90°,200,200,,,,48.2,37.8,1962,245.2,,7.58,2767.1,276.7,6.38
384,С345,340,пр.200х160х8 90°,200,200,,,,54.8,43,2199,274.9,,7.53,3104.3,310.4,6.33
385,С345,340,пр.200х160х9 90°,200,200,,,,61.3,48.1,2436,303.3,,7.48,3424,342.3,6.28
386,С345,340,пр.200х160х10 90°,200,200,,,,67.7,53.1,2211.7,330.4,,7.43,3726.7,372.4,6.23
387,С345,340,пр.300х200х8 90°,300,300,,,,75.8,59.5,5069,510,,11.2,9512,634,8.2
388,С345,340,пр.300х200х9 90°,300,300,,,,84.7,66.5,5630,563,,11.15,10527,702,8.15
389,С345,340,пр.300х200х10 90°,300,300,,,,93.4,73.3,6143,614,,11.1,11505,767,8.11
390,С345,340,пр.300х200х11 90°,300,300,,,,102,80.1,6634,663,,11.05,12446,830,8.06
391,С345,340,пр.300х200х12 90°,300,300,,,,111,86.8,7104,710,,11,13351,890,8.01
392,С345,340,пр.300х200х13 90°,300,300,,,,119,93.4,7553,755,,10.95,12482,945,7.96
393,С345,340,пр.300х200х14 90°,300,300,,,,127,99.8,7983,798,,10.9,15054,1004,7.92
394,С345,340,пр.320х180х8 90°,320,320,,,,75.8,59.5,4248,472,,11.7,10341,646,7.49
395,С345,340,пр.320х180х9 90°,320,320,,,,93.4,73.3,5111,568,,11.6,12506,782,7.4
396,С345,340,пр.320х180х10 90°,320,320,,,,111,86.8,5899,655,,11.5,14511,907,7.31
397,С345,340,пр.320х180х11 90°,320,320,,,,127,99.8,6617,735,,11.3,16359,1022,7.21
398,С345,340,пр.340х160х9 90°,340,340,,,,84.7,66.5,3793,474,,12.1,12306,724,6.69
399,С345,340,пр.340х160х10 90°,340,340,,,,93.4,73.3,4130,516,,12,13446,791,6.65
400,С345,340,пр.340х160х11 90°,340,340,,,,111,86.8,4755,594,,11.9,15596,917,6.56
401,С345,340,пр.340х160х12 90°,340,340,,,,127,99.8,5319,655,,11.8,17576,1034,6.47
402,С345,340,пр.340х260х10 90°,340,340,,,,113,89,12510,962,,12.9,18892,1111,10.5
403,С345,340,пр.340х260х11 90°,340,340,,,,135,106,14577,1121,,12.8,22054,1297,10.4
404,С345,340,пр.340х260х12 90°,340,340,,,,155,122,16508,1269,,12.7,25020,1472,10.3
405,С345,340,пр.380х220х10 90°,380,380,,,,113,89,9416,856,,13.9,21925,1154,9.11
406,С345,340,пр.380х220х11 90°,380,380,,,,135,106,10948,995,,13.8,25594,1347,9.02
407,С345,340,пр.380х220х12 90°,380,380,,,,155,122,12370,1125,,13.7,29037,1528,8.93
408,С345,340,пр.400х200х10 90°,400,400,,,,113,89,7949,795,,14.3,23345,1167,8.37
409,С345,340,пр.400х200х11 90°,400,400,,,,135,106,9227,923,,14.2,27248,1362,8.28
410,С345,340,пр.400х200х12 90°,400,400,,,,155,122,10409,1041,,14.1,30907,1545,8.19
