№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
147,С345,340,кв.100х7,100,100,,,,26.2,20.5,373.9,74.8,,3.75,373.9,74.8,3.75
148,С345,340,кв.120х3,120,120,,,,14,11,315.1,52.5,,4.76,315.1,52.5,4.76
149,С345,340,кв.120х4,120,120,,,,18.5,14.5,408.5,68.1,,4.71,408.5,68.1,4.71
150,С345,340,кв.120х5,120,120,,,,22.9,18,497.9,83,,4.66,497.9,83,4.66
151,С345,340,кв.120х6,120,120,,,,27.4,21.5,583.4,97.2,,4.61,583.4,97.2,4.61
152,С345,340,кв.140х4,140,140,,,,21.6,17,657.9,94,,5.52,657.9,94,5.52
153,С345,340,кв.140х5,140,140,,,,26.9,21.1,808.4,115.5,,5.48,808.4,115.5,5.48
154,С345,340,кв.140х6,140,140,,,,32.1,25.2,947.1,135.3,,5.43,947.1,135.3,5.43
155,С345,340,кв.140х7,140,140,,,,37.2,29.2,1077.1,153.9,,5.38,1077.1,153.9,5.38
156,С345,340,кв.140х8,140,140,,,,42.3,33.2,1201.7,171.7,,5.33,1201.7,171.7,5.33
157,С345,340,кв.160х4,160,160,,,,24.7,19.4,989.7,123.7,,6.33,989.7,123.7,6.33
158,С345,340,кв.160х5,160,160,,,,30.7,24.1,1214.6,151.8,,6.29,1214.6,151.8,6.29
159,С345,340,кв.160х6,160,160,,,,36.8,28.9,1435.1,179.4,,6.24,1435.1,179.4,6.24
160,С345,340,кв.160х7,160,160,,,,42.8,33.6,1640.8,205.1,,6.2,1640.8,205.1,6.2
161,С345,340,кв.160х8,160,160,,,,48.7,38.2,1836.9,229.6,,6.15,1836.9,229.6,6.15
162,С345,340,кв.180х5,180,180,,,,34.6,27.2,1749.1,194.3,,7.11,1749.1,194.3,7.11
163,С345,340,кв.180х6,180,180,,,,41.4,32.5,2063.5,229.3,,7.06,2063.5,229.3,7.06
164,С345,340,кв.180х7,180,180,,,,48.2,37.8,2372.1,263.6,,7.01,2372.1,263.6,7.01
165,С345,340,кв.180х8,180,180,,,,54.8,43,2663.3,295.9,,6.97,2663.3,295.9,6.97
166,С345,340,кв.180х9,180,180,,,,61.5,48.3,2976.5,326.2,,6.91,2976.5,326.2,6.91
167,С345,340,кв.180х10,180,180,,,,68.2,53.5,3300.7,353.5,,6.86,3300.7,353.5,6.86
168,С345,340,кв.200х5,200,200,,,,38.4,30.1,2410,241,,7.93,2410,241,7.93
169,С345,340,кв.200х6,200,200,,,,45.6,35.8,2832,283,,7.88,2832,283,7.88
170,С345,340,кв.200х7,200,200,,,,52.8,41.4,3236,324,,7.83,3236,324,7.83
171,С345,340,кв.200х8,200,200,,,,59.8,46.9,3621,362,,7.78,3621,362,7.78
172,С345,340,кв.200х9,200,200,,,,66.7,52.3,3987,399,,7.73,3987,399,7.73
173,С345,340,кв.200х10,200,200,,,,73.4,57.6,4336,434,,7.68,4336,434,7.68
