профиль,пред_момент,масса_1м_кг
"2ТПС 145х45х1,5",7.94,5.3432
"2ТПС 150х45х1,5",8.25,5.4686
2ТПС 150х45х2,11.678470588235294,7.194
"2ТПС 150х65х1,5",10.25,6.4088
"2ТПС 195х45х1,5",11.28,6.5184
"2ТПС 200х45х1,5",11.61,6.6438
2ТПС 200х45х2,16.468588235294117,8.7634
"2ТПС 200х65х1,5",14.21,7.584
2ТПС 200х65х2,21.25870588235294,10.0176
"2ТПС 245х65х1,5",17.71,8.6338
2ТПС 245х65х2,26.877882352941178,11.4286
"2ПС 145х45х1,5",9.51,5.9
2ПС 145х45х2,12.712235294117647,7.79
"2ПС 150х45х1,5",9.95,6.03
2ПС 150х45х2,13.377529411764707,7.95
"2ПС 150х65х1,5",11.93,6.97
2ПС 150х65х2,16.99058823529412,9.2
"2ПС 195х45х1,5",13.900000000000002,7.08
2ПС 195х45х2,19.29352941176471,9.36
"2ПС 200х45х1,5",14.27,7.2
2ПС 200х45х2,20.030470588235293,9.51
"2ПС 200х65х1,5",16.96,8.14
2ПС 200х65х2,24.92294117647059,10.77
"2ПС 245х65х1,5",20.97,9.19
2ПС 245х65х2,32.179764705882356,12.18
"Z 140х1,5",5.45,3.44
Z 140х2,7.27729411764706,4.56
"Z 140х2,5",9.264705882352942,5.66
"Z 160х1,5",6.16,3.67
Z 160х2,8.249647058823529,4.87
"Z 160х2,5",10.471764705882354,6.05
"Z 180х1,5",7.03,3.91
Z 180х2,9.436941176470588,5.19
"Z 180х2,5",11.97529411764706,6.5
"Z 200х1,5",7.92,4.15
Z 200х2,10.685647058823529,5.5
"Z 200х2,5",13.690588235294117,6.84
"Z 220х1,5",8.88,4.38
Z 220х2,12.251647058823531,5.81
"Z 220х2,5",15.575294117647061,7.23
"Z 250х1,5",10.88,4.94
Z 250х2,15.567882352941176,6.57
"Z 250х2,5",20.10705882352941,8.23
Z 250х3,24.109411764705882,9.9
Z 300х2,23.029411764705884,8.12
"Z 300х2,5",29.721176470588237,10.17
Z 300х3,36.67764705882353,12.23
Z 350х2,27.369176470588233,8.9
"Z 350х2,5",37.334117647058825,11.15
Z 350х3,45.32823529411765,13.41
Толщина,Пред М,"Масса 1м профиля, кг"
