пролет,блок_col,k,с/в,с/в_0,"Высота, м","шаг рам,м",колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг","общая металлоемкость  рамы, кг","металло-емкость распорк, кг","металлоемкость гориз. связей, распорк, кг"
15м,EP,1.0,2/2,2/2,6,6,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,10х2,9х2,9х2,300,556,268,,,
15м,FZ,0.8,1/3,1/3,6,6,"ПГС300/20х80х2,5",74,ПГС300/20х80х2,70,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,8х2,6х2,212,562,200,,,
15м,FZ,0.8,2/3,2/3,6,6,"ПГС300/20х80х2,5",79,"ПГС300/20х80х2,5",71,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,8х2,8х2,8х2,244,621,229,,,
15м,FZ,0.8,2/4,2/4,6,6,ПГС300/20х80х3,83,"ПГС300/20х80х2,5",74,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,9х2,8х2,7х2,252,667,205,,,
15м,FZ,0.8,3/1,3/1,6,6,"ПГС245/20х80х2,5",74,"ПГС300/20х80х2,5",88,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,7х2,9х2,284,553,238,,,
15м,FZ,0.8,3/2,3/2,6,6,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,78,"2ТПС 200х65х1,5 (шаг 1,25м)",89,8х2,9х2,8х2,9х2,276,596,239,,,
15м,FZ,0.8,4/1,4/1,6,6,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,78,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,8х2,10х2,292,682,264,,,
15м,FZ,0.8,4/3,4/3,6,5,"ПГС300/20х80х2,5",77,ПГС300/20х80х3,78,"2ТПС 200х45х2 (шаг 1,5м)",80,8х2,9х2,8х2,9х2,300,728,239,,,
15м,FZ,0.8,5/1,5/1,6,5,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,25м)",83,9х2,10х2,8х2,10х2,300,682,264,,,
15м,FZ,0.8,5/3,5/3,6,5,ПГС300/20х80х3,73,ПГС300/20х80х3,91,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,11х2,8х2,10х2,292,728,268,,,
15м,FZ,0.8,2/2,2/2,6,6,"ПГС245/20х80х2,5",84,"ПГС245/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,8х2,8х2,300,556,268,,,
15м,IR,1.0,1/3,1/3,3.6,6,ПГС245/20х80х2,86,ПГС245/20х80х2,86,"2ТПС 195х45х1,5 (шаг 1,5м)",79,7х2,7х2,8х2,7х2,228,387,209,,,
15м,IR,1.0,2/3,2/3,3.6,6,ПГС245/20х80х2,89,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,9х2,8х2,10х2,268,471,249,,,
15м,IR,1.0,2/4,2/4,3.6,6,"ПГС245/20х80х2,5",73,"ПГС300/20х80х2,5",83,"2ТПС 200х65х1,5 (шаг 1,25м)",92,8х2,9х2,8х2,9х2,276,495,225,,,
15м,IR,1.0,3/1,3/1,3.6,6,ПГС300/20х80х2,88,ПГС300/20х80х3,82,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,9х2,12х2,308,543,280,,,
15м,IR,1.0,3/2,3/2,3.6,6,"ПГС245/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,308,556,264,,,
15м,IR,1.0,4/1,4/1,3.6,4,ПГС300/20х80х2,75,"ПГС300/20х80х2,5",86,"2ТПС 200х45х1,5 (шаг 1,5м)",91,9х2,10х2,7х2,10х2,260,482,258,,,
