пролет,блок_col,k,с/в,с/в_0,"Высота, м","шаг рам,м",колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг","общая металлоемкость  рамы, кг","металло-емкость распорк, кг","металлоемкость гориз. связей, распорк, кг"
18м,AL,0.8,5/1,5/1,3.6,4,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",83,10х2,10х2,7х2,11х2,308,656,268,,,
18м,AL,0.8,5/3,5/3,3.6,4,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",88,10х2,11х2,8х2,11х2,332,670,280,,,
18м,AL,0.8,2/2,2/2,3.6,6,ПГС245/20х80х2,79,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268,,,
18м,BV,1.0,1/3,1/3,4.8,6,"ПГС300/20х80х2,5",78,"ПГС300/20х80х2,5",76,"2ТПС 200х45х1,5 (шаг 1,8м)",89,7х2,8х2,8х2,7х2,252,648,219,,,
18м,BV,1.0,2/3,2/3,4.8,6,ПГС300/20х80х3,80,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,10х2,9х2,9х2,308,757,260,,,
18м,BV,1.0,2/4,2/4,4.8,5,"ПГС300/20х80х2,5",85,ПГС300/20х80х3,79,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,9х2,292,721,245,,,
18м,BV,1.0,3/1,3/1,4.8,4.5,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258,,,
18м,BV,1.0,3/2,3/2,4.8,4.5,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258,,,
18м,BV,1.0,4/1,4/1,4.8,4,ПГС300/20х80х3,64,ПГС300/20х80х3,90,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,7х2,10х2,316,757,268,,,
18м,BV,1.0,4/3,4/3,4.8,3.5,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,8х2,10х2,308,702,260,,,
18м,BV,1.0,5/1,5/1,4.8,3,"ПГС245/20х80х2,5",78,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,9х2,7х2,10х2,292,702,244,,,
18м,BV,1.0,5/3,5/3,4.8,3,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,721,270,,,
18м,BV,1.0,2/2,2/2,4.8,6,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,86,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,9х2,10х2,300,556,268,,,
18м,DF,0.8,1/3,1/3,4.8,6,"ПГС245/20х80х2,5",75,ПГС300/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,7х2,6х2,244,558,209,,,
18м,DF,0.8,2/3,2/3,4.8,6,"ПГС245/20х80х2,5",83,"ПГС300/20х80х2,5",89,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,9х2,284,629,244,,,
18м,DF,0.8,2/4,2/4,4.8,6,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,8х2,9х2,9х2,284,721,241,,,
18м,DF,0.8,3/1,3/1,4.8,5,"ПГС245/20х80х2,5",66,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,721,250,,,
18м,DF,0.8,3/2,3/2,4.8,5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,702,250,,,
18м,DF,0.8,4/1,4/1,4.8,4.5,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,721,264,,,
18м,DF,0.8,4/3,4/3,4.8,4,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,82,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,7х2,10х2,268,702,252,,,
18м,DF,0.8,5/1,5/1,4.8,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,11х2,7х2,11х2,324,721,274,,,
18м,DF,0.8,5/3,5/3,4.8,3.5,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,10х2,9х2,7х2,10х2,292,702,254,,,
18м,DF,0.8,2/2,2/2,4.8,6,"ПГС245/20х80х2,5",73,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,9х2,300,556,268,,,
18м,EP,1.0,1/3,1/3,6,6,ПГС300/20х80х3,91,ПГС300/20х80х3,70,"2ТПС 200х45х1,5 (шаг 1,8м)",89,6х2,7х2,9х2,7х2,244,823,206,,,
18м,EP,1.0,2/3,2/3,6,5,ПГС300/20х80х3,86,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,8х2,284,823,243,,,
18м,EP,1.0,2/4,2/4,6,4.5,ПГС300/20х80х3,85,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,8м)",80,7х2,8х2,9х2,8х2,268,823,235,,,
18м,EP,1.0,3/1,3/1,6,4.5,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,8х2,10х2,316,777,270,,,
18м,EP,1.0,3/2,3/2,6,4.5,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,9х2,10х2,324,777,276,,,
18м,EP,1.0,4/1,4/1,6,3.5,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,292,752,258,,,
18м,EP,1.0,4/3,4/3,6,3.5,"ПГС300/20х80х2,5",84,ПГС300/20х80х3,90,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,10х2,9х2,10х2,324,777,276,,,
18м,EP,1.0,5/1,5/1,6,3,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,308,777,264,,,
18м,EP,1.0,5/3,5/3,6,3,ПГС300/20х80х3,70,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,823,270,,,
18м,EP,1.0,2/2,2/2,6,5,"ПГС300/20х80х2,5",82,ПГС300/20х80х3,77,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,9х2,9х2,300,556,268,,,
18м,FZ,0.8,1/3,1/3,6,6,ПГС300/20х80х3,79,"ПГС245/20х80х2,5",79,"2ТПС 200х45х1,5 (шаг 2,25м)",89,7х2,7х2,8х2,6х2,228,711,209,,,
18м,FZ,0.8,2/3,2/3,6,6,ПГС300/20х80х3,80,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,9х2,8х2,8х2,276,823,237,,,
18м,FZ,0.8,2/4,2/4,6,5,ПГС300/20х80х3,81,"ПГС300/20х80х2,5",86,"2ТПС 195х45х1,5 (шаг 1,8м)",80,8х2,9х2,8х2,7х2,268,750,235,,,
18м,FZ,0.8,3/1,3/1,6,5,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,81,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250,,,
18м,FZ,0.8,3/2,3/2,6,5,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250,,,
18м,FZ,0.8,4/1,4/1,6,4.5,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,777,264,,,
18м,FZ,0.8,4/3,4/3,6,4,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,87,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,8х2,10х2,292,752,258,,,
18м,FZ,0.8,5/1,5/1,6,4,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,10х2,8х2,11х2,324,777,260,,,
18м,FZ,0.8,5/3,5/3,6,3.5,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,9х2,10х2,8х2,10х2,308,777,264,,,
18м,FZ,0.8,2/2,2/2,6,6,"ПГС300/20х80х2,5",80,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,10х2,9х2,9х2,300,556,268,,,
18м,IR,1.0,1/3,1/3,3.6,6,"ПГС245/20х80х2,5",83,"ПГС245/20х80х2,5",85,"2ТПС 200х45х1,5 (шаг 1,8м)",89,8х2,8х2,8х2,7х2,236,544,215,,,
18м,IR,1.0,2/3,2/3,3.6,6,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,8х2,10х2,292,656,252,,,
18м,IR,1.0,2/4,2/4,3.6,6,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,9х2,10х2,308,670,260,,,
18м,IR,1.0,3/1,3/1,3.6,5,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280,,,
18м,IR,1.0,3/2,3/2,3.6,5,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280,,,
18м,IR,1.0,4/1,4/1,3.6,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,8х2,11х2,332,670,280,,,
18м,IR,1.0,4/3,4/3,3.6,3.5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,300,656,254,,,
18м,IR,1.0,5/1,5/1,3.6,3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,84,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,300,656,264,,,
18м,IR,1.0,5/3,5/3,3.6,3,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,670,270,,,
18м,IR,1.0,2/2,2/2,3.6,6,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268,,,
18м,KB,0.8,1/3,1/3,3.6,6,ПГС300/20х80х2,78,ПГС245/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,8х2,7х2,252,469,225,,,
18м,KB,0.8,2/3,2/3,3.6,6,ПГС300/20х80х2,85,"ПГС300/20х80х2,5",80,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,10х2,300,570,254,,,
18м,KB,0.8,2/4,2/4,3.6,6,"ПГС245/20х80х2,5",72,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,7х2,8х2,276,583,234,,,
18м,KB,0.8,3/1,3/1,3.6,6,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,84,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270,,,
18м,KB,0.8,3/2,3/2,3.6,6,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270,,,
18м,KB,0.8,4/1,4/1,3.6,5,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,8м)",85,10х2,11х2,8х2,11х2,332,670,280,,,
18м,KB,0.8,4/3,4/3,3.6,4.5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,8х2,10х2,308,656,264,,,
18м,KB,0.8,5/1,5/1,3.6,4,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",83,10х2,10х2,7х2,11х2,308,656,268,,,
18м,KB,0.8,5/3,5/3,3.6,4,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",88,10х2,11х2,8х2,11х2,332,670,280,,,
18м,KB,0.8,2/2,2/2,3.6,6,ПГС245/20х80х2,79,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268,,,
18м,LL,1.0,1/3,1/3,4.8,6,"ПГС300/20х80х2,5",78,"ПГС300/20х80х2,5",76,"2ТПС 200х45х1,5 (шаг 1,8м)",89,7х2,8х2,8х2,7х2,252,648,219,,,
18м,LL,1.0,2/3,2/3,4.8,6,ПГС300/20х80х3,80,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,10х2,9х2,9х2,308,757,260,,,
18м,LL,1.0,2/4,2/4,4.8,5,"ПГС300/20х80х2,5",85,ПГС300/20х80х3,79,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,9х2,292,721,245,,,
18м,LL,1.0,3/1,3/1,4.8,4.5,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258,,,
18м,LL,1.0,3/2,3/2,4.8,4.5,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258,,,
18м,LL,1.0,4/1,4/1,4.8,4,ПГС300/20х80х3,64,ПГС300/20х80х3,90,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,7х2,10х2,316,757,268,,,
18м,LL,1.0,4/3,4/3,4.8,3.5,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,8х2,10х2,308,702,260,,,
18м,LL,1.0,5/1,5/1,4.8,3,"ПГС245/20х80х2,5",78,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,9х2,7х2,10х2,292,702,244,,,
18м,LL,1.0,5/3,5/3,4.8,3,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,721,270,,,
18м,LL,1.0,2/2,2/2,4.8,6,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,86,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,9х2,10х2,300,556,268,,,
18м,MV,0.8,1/3,1/3,4.8,6,"ПГС245/20х80х2,5",75,ПГС300/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,7х2,6х2,244,558,209,,,
18м,MV,0.8,2/3,2/3,4.8,6,"ПГС245/20х80х2,5",83,"ПГС300/20х80х2,5",89,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,9х2,284,629,244,,,
18м,MV,0.8,2/4,2/4,4.8,6,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,8х2,9х2,9х2,284,721,241,,,
18м,MV,0.8,3/1,3/1,4.8,5,"ПГС245/20х80х2,5",66,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,721,250,,,
18м,MV,0.8,3/2,3/2,4.8,5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,702,250,,,
18м,MV,0.8,4/1,4/1,4.8,4.5,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,721,264,,,
18м,MV,0.8,4/3,4/3,4.8,4,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,82,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,7х2,10х2,268,702,252,,,
18м,MV,0.8,5/1,5/1,4.8,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,11х2,7х2,11х2,324,721,274,,,
18м,MV,0.8,5/3,5/3,4.8,3.5,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,10х2,9х2,7х2,10х2,292,702,254,,,
18м,MV,0.8,2/2,2/2,4.8,6,"ПГС245/20х80х2,5",73,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,9х2,300,556,268,,,
18м,OF,1.0,1/3,1/3,6,6,ПГС300/20х80х3,91,ПГС300/20х80х3,70,"2ТПС 200х45х1,5 (шаг 1,8м)",89,6х2,7х2,9х2,7х2,244,823,206,,,
18м,OF,1.0,2/3,2/3,6,5,ПГС300/20х80х3,86,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,8х2,284,823,243,,,
18м,OF,1.0,2/4,2/4,6,4.5,ПГС300/20х80х3,85,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,8м)",80,7х2,8х2,9х2,8х2,268,823,235,,,
18м,OF,1.0,3/1,3/1,6,4.5,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,8х2,10х2,316,777,270,,,
18м,OF,1.0,3/2,3/2,6,4.5,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,9х2,10х2,324,777,276,,,
18м,OF,1.0,4/1,4/1,6,3.5,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,292,752,258,,,
18м,OF,1.0,4/3,4/3,6,3.5,"ПГС300/20х80х2,5",84,ПГС300/20х80х3,90,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,10х2,9х2,10х2,324,777,276,,,
18м,OF,1.0,5/1,5/1,6,3,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,308,777,264,,,
18м,OF,1.0,5/3,5/3,6,3,ПГС300/20х80х3,70,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,823,270,,,
18м,OF,1.0,2/2,2/2,6,5,"ПГС300/20х80х2,5",82,ПГС300/20х80х3,77,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,9х2,9х2,300,556,268,,,
18м,PP,0.8,1/3,1/3,6,6,ПГС300/20х80х3,79,"ПГС245/20х80х2,5",79,"2ТПС 200х45х1,5 (шаг 2,25м)",89,7х2,7х2,8х2,6х2,228,711,209,,,
18м,PP,0.8,2/3,2/3,6,6,ПГС300/20х80х3,80,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,9х2,8х2,8х2,276,823,237,,,
18м,PP,0.8,2/4,2/4,6,5,ПГС300/20х80х3,81,"ПГС300/20х80х2,5",86,"2ТПС 195х45х1,5 (шаг 1,8м)",80,8х2,9х2,8х2,7х2,268,750,235,,,
18м,PP,0.8,3/1,3/1,6,5,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,81,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250,,,
18м,PP,0.8,3/2,3/2,6,5,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250,,,
18м,PP,0.8,4/1,4/1,6,4.5,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,777,264,,,
18м,PP,0.8,4/3,4/3,6,4,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,87,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,8х2,10х2,292,752,258,,,
18м,PP,0.8,5/1,5/1,6,4,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,10х2,8х2,11х2,324,777,260,,,
18м,PP,0.8,5/3,5/3,6,3.5,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,9х2,10х2,8х2,10х2,308,777,264,,,
18м,PP,0.8,2/2,2/2,6,6,"ПГС300/20х80х2,5",80,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,10х2,9х2,9х2,300,556,268,,,
21м,B,1.0,1/3,1/3,3.6,6,"ПГС245/20х80х2,5",74,"ПГС300/20х80х2,5",81,"2ТПС 195х45х1,5 (шаг 1,75м)",83,9х2,9х2,8х2,9х2,292,656,274,,,
21м,B,1.0,2/3,2/3,3.6,5,"ПГС245/20х80х2,5",82,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,9х2,9х2,10х2,316,741,296,,,
21м,B,1.0,2/4,2/4,3.6,5,"ПГС245/20х80х2,5",83,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,10х2,9х2,10х2,324,741,306,,,
21м,B,1.0,3/1,3/1,3.6,4,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,10х2,8х2,11х2,332,741,309,,,
21м,B,1.0,3/2,3/2,3.6,4,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 195х45х1,5 (шаг 1,75м)",84,10х2,10х2,8х2,11х2,324,741,304,,,
21м,B,1.0,4/1,4/1,3.6,3,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,741,309,,,
21м,B,1.0,4/3,4/3,3.6,3,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,741,309,,,
21м,B,1.0,5/1,5/1,3.6,2.5,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,84,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,7х2,11х2,324,741,303,,,
21м,B,1.0,5/3,5/3,3.6,2.5,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,7х2,10х2,316,741,299,,,
21м,B,1.0,2/2,2/2,3.6,5,ПГС300/20х80х2,89,ПГС300/20х80х3,81,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,12х2,300,556,268,,,
21м,AL,0.8,1/3,1/3,3.6,6,ПГС300/20х80х2,79,ПГС300/20х80х2,86,"2ТПС 195х45х1,5 (шаг 2,1м)",80,9х2,9х2,8х2,8х2,284,560,274,,,
21м,AL,0.8,2/3,2/3,3.6,6,"ПГС245/20х80х2,5",71,"ПГС300/20х80х2,5",89,"2ТПС 200х45х1,5 (шаг 1,5м)",85,11х2,10х2,8х2,10х2,324,656,305,,,
21м,AL,0.8,2/4,2/4,3.6,6,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,5м)",85,10х2,9х2,9х2,10х2,316,741,296,,,
21м,AL,0.8,3/1,3/1,3.6,5,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,10х2,8х2,10х2,324,741,305,,,
21м,AL,0.8,3/2,3/2,3.6,5,"ПГС245/20х80х2,5",88,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,11х2,9х2,12х2,356,741,325,,,
21м,AL,0.8,4/1,4/1,3.6,4,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,75м)",81,11х2,10х2,8х2,11х2,332,741,303,,,
21м,AL,0.8,4/3,4/3,3.6,3.5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,79,"2ТПС 195х45х1,5 (шаг 2,1м)",79,10х2,9х2,8х2,10х2,308,741,290,,,
21м,AL,0.8,5/1,5/1,3.6,3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,5м)",50,10х2,10х2,7х2,11х2,316,741,298,,,
21м,AL,0.8,5/3,5/3,3.6,3,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,5м)",50,10х2,9х2,7х2,11х2,308,741,294,,,
21м,AL,0.8,2/2,2/2,3.6,6,ПГС300/20х80х2,86,ПГС300/20х80х3,78,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,11х2,300,556,268,,,
21м,BV,1.0,1/3,1/3,4.8,6,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",83,"2ТПС 195х45х1,5 (шаг 1,75м)",83,9х2,9х2,9х2,8х2,292,724,280,,,
21м,BV,1.0,2/3,2/3,4.8,5,"ПГС245/20х80х2,5",86,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,9х2,10х2,10х2,324,787,310,,,
21м,BV,1.0,2/4,2/4,4.8,4.5,"ПГС300/20х80х2,5",85,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 1,75м)",76,9х2,9х2,10х2,9х2,308,809,284,,,
21м,BV,1.0,3/1,3/1,4.8,4,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,11х2,8х2,11х2,340,809,315,,,
21м,BV,1.0,3/2,3/2,4.8,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,11х2,9х2,11х2,348,809,321,,,
